Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,Ratings.Internet Movie Database,Ratings.Rotten Tomatoes,Ratings.Metacritic
"Nicolas Cage, Rachel Nichols, Max Ryan, Michael McGrady",,,"USA, France",12-Aug-14,Paco Cabezas,,"Action, Crime, Thriller",English,28,"The reformed criminal Paul Maguire is a businessman in the construction business and happily married with Vanessa Maguire. His sixteen year-old daughter Caitlin Maguire is his pride and joy. One night, Paul and Vanessa go to a dinner party and leave Caitlin with her friends Mike and Evan at home. During the night, his dinner is interrupted by Detective Peter St. John that tells that Caitlin had been kidnapped and her friends are wounded. Paul learns that three criminals had invaded his house and abducted his daughter. Paul meets his friends and former crew, Kane and Danny Doherty, and they unsuccessfully press the smalltime criminals expecting to have news from Caitlin. Soon she is found dead in a park and they see the result of the ballistics indicating that a Russian Tokarev pistol killed Caitlin. Now Paul is haunted by his past and believes that the Russians are seeking revenge. Paul, Kane and Danny start a war against the Russians but no mobster knows any connection of the Russian Mafia with Caitlin. Who did kill Paul's daughter?",https://m.media-amazon.com/images/M/MV5BMTg1ODg4NjUzNF5BMl5BanBnXkFtZTgwOTU5NDc3MTE@._V1_SX300.jpg,RLJ/Image Entertainment,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",9-May-14,TRUE,92 min,Rage,movie,http://hannibalclassics.com/films/tokarev,"Jim Agnew, Sean Keller",2014,tt2401807,5,"21,062",,0.5,0.12,0.28
"Aiysha Hart, Paddy Considine, Faraz Ayub, Shubham Saraf",1 nomination.,,UK,16-Sep-14,Shan Khan,,Thriller,English,53,An urban thriller set in West London starring Paddy Considine and rising star Aiysha Hart. Mona is a young British Muslim girl on the on the run from her family after they find out about her plans to run away with her Punjabi boyfriend. In a desperate bid to save face and their family honour; her mother and older brother enlist the help of a bounty hunter to track her down.,https://m.media-amazon.com/images/M/MV5BMTQ0MDUyOTg3MV5BMl5BanBnXkFtZTgwOTcxMjEyMTE@._V1_SX300.jpg,108 Media,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",4-Apr-14,TRUE,104 min,Honour,movie,https://www.facebook.com/HonourFilm,Shan Khan,2014,tt1738351,6,904,,0.6,0.44,0.53
"Ben Rosenfield, Gregg Sulkin, Nicola Peltz, Grant Gustin",,,USA,26-Apr-15,Kevin Asch,,Drama,English,30,"Suburbia, 2008. Swept up in a heady pre-recession world of absentee parents, plentiful booze and casual sex, aspiring photographer Fisher Miller escapes his middle-class life for the moneyed mansions of the young, beautiful elite. With a stash of high-quality weed and a vintage camera, he gains access to his gorgeous cousin Kate's circle of wealthy and indulged friends, just as their entitled reality is about to spin out of control. A revealing take on the hidden perils of privilege.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNTc4Nzk3N15BMl5BanBnXkFtZTgwMjkzNTIwMjE@._V1_SX300.jpg,FilmBuff,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",11-Jul-14,TRUE,85 min,Affluenza,movie,https://www.facebook.com/affluenza.film,"Antonio Macia (screenplay by), Kevin Asch (story by), Antonio Macia (story by)",2014,tt1906384,4.8,621,,0.48,0.2,0.3
"Jeremiah Bitsui, Carmen Moore, MorningStar Angeline, Tailinh Agoyo",9 wins & 6 nominations.,,USA,,Sydney Freeland,,Drama,English,55,"Three young Native Americans - an adopted Christian girl, a rebellious father-to-be, and a promiscuous transsexual - strive to escape the hardships of life on an Indian reservation.",https://ia.media-imdb.com/images/M/MV5BMjAwMTA2MTUyOF5BMl5BanBnXkFtZTgwODUyMjQ0MTE@._V1_SX300.jpg,Indion Entertainment,UNRATED,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",20-Feb-15,TRUE,95 min,Drunktown's Finest,movie,http://www.drunktownsfinest.com/,Sydney Freeland (screenwriter),2014,tt3091286,6.9,180,,0.69,0.64,0.55
"Kambuzia Partovi, Maryam Moqadam, Jafar Panahi, Hadi Saeedi",2 wins & 7 nominations.,,Iran,,"Jafar Panahi, Kambuzia Partovi",,Drama,Persian,81,"In a secluded house by the sea with the curtains shut, a screenwriter hides from the world with only his dog as company. The tranquility is abruptly broken one night by the arrival of a young woman fleeing from the authorities. Refusing to leave, she takes refuge in the house. But come dawn, another unexpected presence will change everything.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NjQ2NjQ3NF5BMl5BanBnXkFtZTgwNjU4MDMxMjE@._V1_SX300.jpg,Variance Films,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",10-Apr-14,TRUE,106 min,Closed Curtain,movie,,Jafar Panahi (screenplay),2013,tt2626926,6.6,904,,0.66,0.9,0.81
"Vidya Balan, Ali Fazal, Mahima A, Abhishek C",,,India,,Samar Shaikh,,"Comedy, Drama, Thriller","Urdu, Hindi",,"Bobby Jasoos starring Vidya Balan, is a film that celebrates the aspiration of Bobby, who wants to become the number one detective in the old city area of Hyderabad. The film is directed by Samar Shaikh, produced by Dia Mirza and Sahil Sangha under their banner Born Free Entertainment and is presented by Reliance Entertainment. Bobby Jasoos releases on July 4th,2014.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1MzUwNTczODReQTJeQWpwZ15BbWU4MDU5NzkwOTEx._V1_SX300.jpg,Reliance Entertainment,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",4-Jul-14,TRUE,121 min,Bobby Jasoos,movie,http://www.facebook.com/BobbyJasoos,"Sanyukta Shaikh Chawla (screen play & dialogue by), Samar Shaikh (story)",2014,tt3359290,5.5,"1,769",,0.55,-1,-1
"Tacho González, Álvaro Guevara, Mabel Rivera, Raúl Dans",4 wins & 6 nominations.,,Spain,15-Jul-14,Ignacio Ferreras,,"Animation, Drama","Spanish, Gallegan",81,"Based on Paco Roca's comic of the same title (2008 Spanish National Comic Prize), WRINKLES is a 2D animated feature-length film for an adult audience. Wrinkles portrays the friendship between Emilio and Miguel, two aged gentlemen shut away in a care home. Recent arrival Emilio, in the early stages of Alzheimer, is helped by Miguel and colleagues to avoid ending up on the feared top floor of the care home, also known as the lost causes or ""assisted"" floor. Their wild plan infuses their otherwise tedious day-to-day with humor and tenderness, because although for some their lives are coming to an end, for them it is just a new beginning.",https://m.media-amazon.com/images/M/MV5BNzQzNTIzNzM2Ml5BMl5BanBnXkFtZTgwMzkzMDM5MTE@._V1_SX300.jpg,GKIDS,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",27-Jan-12,TRUE,89 min,Wrinkles,movie,http://www.gkids.tv/wrinkles/,"Rosanna Cecchini, Ignacio Ferreras, Patrick Mullen (Screenplay,  English Language Adaptation), Paco Roca (comic book), Paco Roca, Stephanie Sheh (english language version), Ángel de la Cruz",2011,tt1407052,7.6,"3,277",,0.76,0.96,0.81
"Isabelle Huppert, Pascal Greggory, Claudia Coli, Thierry Hancisse",3 wins & 6 nominations.,"$89,667 ","France, Italy, Germany",19-Dec-06,Patrice Chéreau,,"Drama, Romance",French,79,"Paris shortly before World War I. Wealthy and self-satisfied, Jean Hervey is returning home from work, describing life with his wife of 10 years, Gabrielle; he values her as impassive and stolid. However, that day she's gone, leaving a letter that she's joining a man she loves. Jean is devastated, but within minutes she's returned, telling him that her resolve has failed. Over the next two days, he questions, demands, begs, and parries with her: why did she leave, why did she return, does she love him, did she ever love him, who is her lover, is she passionate with her lover? She's calm as alabaster, reserved. Is she in danger? When she makes an offer, how will he respond?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MTkxNzQ1OF5BMl5BanBnXkFtZTcwNDgzNzQzMQ@@._V1_SX300.jpg,IFC First Take,,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",9-Sep-05,TRUE,90 min,Gabrielle,movie,,"Patrice Chéreau, Anne-Louise Trividic, Joseph Conrad (novel)",2005,tt0435479,6.3,"1,549",,0.63,0.74,0.79
"Chad Moffitt, Sonam Sherpa, John Wraight, Joshua Rutter",2 wins & 4 nominations.,,New Zealand,24-Nov-14,Leanne Pooley,,"Documentary, Adventure, Drama",English,59,Tenzing Norgay and Edmund Hillary's monumental and historical ascent of Mt. Everest in 1953 - an event that stunned the world and defined a nation.,https://m.media-amazon.com/images/M/MV5BMTk1MDk1MTYxMF5BMl5BanBnXkFtZTgwNzkxMDMwMDE@._V1_SX300.jpg,IFC Films,UNRATED,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",4-Jul-14,TRUE,90 min,Beyond the Edge,movie,http://www.beyondtheedgefilm.com/,"Matthew Metcalfe (screen story), Leanne Pooley (screen story), Leanne Pooley",2013,tt2468638,6.8,"1,438",,0.68,0.71,0.59
"Tea Falco, Jacopo Olmo Antinori, Sonia Bergamasco, Veronica Lazar",8 wins & 13 nominations.,,Italy,,Bernardo Bertolucci,,Drama,Italian,57,"A 14-year-old pretends to go on a ski trip, but actually spends the week in isolation in his basement, escaping society's pressure. When his 25-year-old half-sister enters the basement, a few emotional and confronting days and nights ensue.",https://m.media-amazon.com/images/M/MV5BZjVlMzEwNTUtYjhiMS00ZmI2LWI1ODItMWUyYzM5ZjFhNzU4XkEyXkFqcGdeQXVyNTE0MDY4Mjk@._V1_SX300.jpg,Emerging Pictures,,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",25-Oct-12,TRUE,103 min,Me and You,movie,http://www.emergingpictures.com/titles/me-and-you/,"Niccolò Ammaniti (based on the novel by), Niccolò Ammaniti (screenplay), Umberto Contarello (screenplay), Francesca Marciano (screenplay), Bernardo Bertolucci (screenplay)",2012,tt1801061,6.6,"4,663",,0.66,0.68,0.57
"Raimu, Pierre Fresnay, Fernand Charpin, Alida Rouffe",,,France,,Alexander Korda,,"Comedy, Drama, Romance",French,,"César runs a bar along Marseilles' port, assisted by his 23 year old son, Marius. Colorful characters abound: M. Panisse, an aging widower and prosperous sail maker; Honorine, a fishmonger with a sidewalk stall near the bar; her daughter, Fanny, who helps her sell cockles; and, various old salts. Friends since childhood, Fanny and Marius love each other, but Marius has a secret wanderlust: every ship's whistle stirs a longing for foreign lands. When M. Panisse seeks Fanny's hand in marriage and when a departing clipper needs a deckhand, Marius and Fanny must decide who and what they love most. César, with his generous, comic spirit, tries to guide his son.",https://images-na.ssl-images-amazon.com/images/M/MV5BYTRhYWJhMDItYTUyMi00YTI5LWI5ODYtY2E1ZTM3NWVkZTgzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Les Films Marcel Pagnol,,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",13-Apr-33,TRUE,130 min,Marius,movie,,"Marcel Pagnol (play), Marcel Pagnol (screenplay)",1931,tt0022125,7.8,"1,503",,0.78,1,-1
"Julius Feldmeier, Sascha Alexander Gersak, Annika Kuhl, Gro Swantje Kohlhof",8 wins & 10 nominations.,,Germany,14-Oct-14,Katrin Gebbe,,"Crime, Drama, Thriller",German,51,"The young Tore seeks in Hamburg a new life among the religious group called The Jesus Freaks. When he by accident meets a family and helps them to repair their car, he believes that a heavenly wonder has helped him. He starts a friendship with the father of the family, Benno. Soon he moves in with them at their garden plot, not knowing what cruelty is there to come. True to his religious belief he stays with them although the increasing violence by Benno is torturing him. Tore is fighting the torment with his own weapons. So a dangerous struggle between libidinous actions and altruism begins. Inspired by true events.",https://m.media-amazon.com/images/M/MV5BMTQzOTAxNDcxNF5BMl5BanBnXkFtZTgwNzE0ODM5MTE@._V1_SX300.jpg,Drafthouse Films,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",28-Nov-13,TRUE,110 min,Nothing Bad Can Happen,movie,http://www.tore-tanzt.com/,Katrin Gebbe,2013,tt2822400,6.9,"1,140",,0.69,0.73,0.51
"Eric Bana, Edgar Ramírez, Olivia Munn, Chris Coy",2 wins & 4 nominations.,"$18,871,466 ",USA,28-Oct-14,Scott Derrickson,,"Horror, Mystery, Thriller","English, Spanish, Latin, Italian",40,"In DELIVER US FROM EVIL, New York police officer Ralph Sarchie (Eric Bana), struggling with his own personal issues, begins investigating a series of disturbing and inexplicable crimes. He joins forces with an unconventional priest (Edgar Ramirez), schooled in the rituals of exorcism, to combat the frightening and demonic possessions that are terrorizing their city. Based upon the book, which details Sarchie's bone-chilling real-life cases.",https://m.media-amazon.com/images/M/MV5BYWVlM2Y2NDUtOTYyMi00ZDY2LTkyZDAtZGRkM2FhNmNjM2EyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Sony Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",2-Jul-14,TRUE,118 min,Deliver Us from Evil,movie,http://www.sonypictures.com/movies/deliverusfromevil/,"Scott Derrickson (screenplay), Paul Harris Boardman (screenplay), Ralph Sarchie (book), Lisa Collier Cool (book)",2014,tt2377322,6.2,"62,046",,0.62,0.28,0.4
"John Karna, Caroline Traywick, Kate Kneeland, Steve Coulter",2 nominations.,,USA,4-Nov-14,Dan Beers,,"Comedy, Fantasy","English, French",34,"A high school senior has to re-live losing his virginity over and over again until he gets it right, with the right girl.",https://m.media-amazon.com/images/M/MV5BMjE2OTQ2NDEzMF5BMl5BanBnXkFtZTgwMjA3MjAwMjE@._V1_SX300.jpg,Morningwood Productions,R,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",2-Jul-14,TRUE,93 min,Premature,movie,,"Dan Beers (screenplay), Mathew Harawitz (screenplay)",2014,tt2182256,5.8,"8,579",,0.58,0.5,0.34
"Zoltán Miklós Hajdu, Kimke Desart, Lisbeth Gruwez, Sam Louwyck",3 wins & 6 nominations.,,"Belgium, Netherlands, Hungary, Germany, France",,Caroline Strubbe,,Drama,"English, Dutch, Hungarian",,"Tessa, a nine-year-old girl, wandering the vast fields with endless pylons, looking for bits and pieces to occupy her mind. Marcus, Tessa's father, a man searching to find happiness in an unconventional way of living. Bettina, Marcus' wife, figuring out which role to play as a woman. And Sobotch, a Hungarian engineer, looking for a family far away from home.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwNTU3OTc2MF5BMl5BanBnXkFtZTgwMjAzODI2NTE@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",9-Sep-09,TRUE,109 min,Lost Persons Area,movie,,Caroline Strubbe,2009,tt1405808,5.7,150,,0.57,-1,-1
"Melissa McCarthy, Susan Sarandon, Kathy Bates, Allison Janney",1 win & 7 nominations.,"$51,033,986 ",USA,11-Nov-14,Ben Falcone,,"Comedy, Romance",English,39,"Tammy, who was recently fired from a Topper Jack's fast food restaurant, returns home only to find her husband enjoying a romantic meal with the neighbor. She quickly packs her necessities, and travels down three houses to her parent's home. Upon denied use of her mom's car to drive to Niagara Falls, she quickly resorts to an ""ailing"" grandmother, who also lives in the home...Only instead of traveling alone, Grandma Pearl wants in on the road trip. After realizing Grandma Pearl has the funds, they hit the road. Pearl soon proves to be quite the alcoholic despite her diabetes, and Tammy quickly turns into the ""baby-sitter."" From finding love in a bar to robbing a Topper Jack's in order to bail Pearl out of jail,the quirky adventure will have you finding yourself riding along for the misadventures of Tammy.","https://m.media-amazon.com/images/M/MV5BMjIyMDg1ODM5OV5BMl5BanBnXkFtZTgwMTM4NzgxMTE@._V1._CR3,3,863,1275_SY132_CR0,0,89,132_AL_.jpg_V1_SX300.jpg",Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",2-Jul-14,TRUE,97 min,Tammy,movie,http://tammymovie.com/?utm_source=semgoogle&utm_medium=Tammy_Pre-O_Branded_Title,"Melissa McCarthy, Ben Falcone",2014,tt2103254,4.9,"42,560",,0.49,0.24,0.39
"Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt",2 wins & 1 nomination.,,USA,20-Oct-14,Dave Green,,"Adventure, Family, Sci-Fi",English,53,"""Earth to Echo"" follows four young teenagers who find an alien life form that's trying to rebuild its spaceship. Together, the teenagers protect the alien and help rebuild its ship so it can fly back to its home planet.",https://m.media-amazon.com/images/M/MV5BMjEwMzA5Nzk2Ml5BMl5BanBnXkFtZTgwMDM2NzE4MTE@._V1_SX300.jpg,Relativity Media,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",2-Jul-14,TRUE,91 min,Earth to Echo,movie,http://CallHimEcho.com,"Henry Gayden (screenplay by), Henry Gayden (story by), Andrew Panay (story by)",2014,tt2183034,5.8,"17,316",,0.58,0.5,0.53
"Woo-hee Chun, In-sun Jung, So-young Kim, Yeong-ran Lee",22 wins & 12 nominations.,,South Korea,,Su-jin Lee,,Drama,Korean,68,"Han Gong-Ju is taken to a home in an unfamiliar area. The home belongs to her former high school teacher's mother. The mother wants to know why her son is leaving Han Gong-Ju there, even if he promises she will be there for only a week. An investigation is ongoing back in Han Gong-Ju's hometown. Can Han Gong-Ju escape from her past?",https://m.media-amazon.com/images/M/MV5BZmQ2ZTZjNjItNTJmMS00MWYwLWFlNTYtYzMwMTA2NTg1MWQ4XkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,Vill Lee Film,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",17-Apr-14,TRUE,112 min,Han Gong-ju,movie,,Su-jin Lee,2013,tt3265462,7.3,"1,527",,0.73,0.8,0.68
"Kathryn Worth, Harry Kershaw, Emma Hiddleston, Henry Lloyd-Hughes",2 wins & 3 nominations.,,UK,,Joanna Hogg,,Drama,"English, Italian",74,"During a sticky patch in her marriage forty-something Anna spends a summer holiday with her friends Verena and George at their Tuscan villa but hangs out with the couple's teen-aged children and their cousin Oakley, with whom she goes skinny-dipping and sight-seeing. When the youngsters prang a borrowed car and Anna tells George how it happened, causing a huge scene with his elder son, the kids turn against her. Observing family life as an outsider - unrelated - Anna ultimately comes to be grateful for what she has got.",https://m.media-amazon.com/images/M/MV5BMTYzNTk4MzU1NF5BMl5BanBnXkFtZTgwMTYyNTU5MjE@._V1_SX300.jpg,Kino Lorber,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",19-Sep-08,TRUE,100 min,Unrelated,movie,http://www.unrelatedfilm.com/,Joanna Hogg,2007,tt1107850,6.5,"1,170",,0.65,0.88,0.74
"Tim Berners-Lee, Cindy Cohn, Gabriella Coleman, Cory Doctorow",4 wins & 3 nominations.,"$48,911 ",USA,20-Jan-15,Brian Knappenberger,,"Documentary, Biography, Crime",English,72,"The story of programming prodigy and information activist Aaron Swartz. From Swartz's help in the development of the basic internet protocol RSS to his co-founding of Reddit, his fingerprints are all over the internet. But it was Swartz's groundbreaking work in social justice and political organizing combined with his aggressive approach to information access that ensnared him in a two year legal nightmare. It was a battle that ended with the taking of his own life at the age of 26. Aaron's story touched a nerve with people far beyond the online communities in which he was a celebrity. This film is a personal story about what we lose when we are tone deaf about technology and its relationship to our civil liberties.",https://m.media-amazon.com/images/M/MV5BMjgwOTgwNjQ5MV5BMl5BanBnXkFtZTgwMzk1NTQ2MTE@._V1_SX300.jpg,FilmBuff and Participant,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",27-Jun-14,TRUE,105 min,The Internet's Own Boy: The Story of Aaron Swartz,movie,http://www.takepart.com/internets-own-boy,Brian Knappenberger,2014,tt3268458,8.1,"13,883",,0.81,0.93,0.72
"Rajesh Tailang, Tannishtha Chatterjee, Anurag Arora, Shobha Sharma Jassi",2 wins & 7 nominations.,,"Canada, India",20-Oct-14,Richie Mehta,,Drama,"Hindi, Hindi",72,"After sending away his 12 year-old son Siddharth for work, Mahendra (a chain-wallah who specializes in fixing broken zippers on the streets) is relieved as his financial burdens will be alleviated. But when Siddharth fails to return home, Mahendra learns he may have been taken by child-traffickers. With little resources and no connections, he travels across India in pursuit, with the hope that whatever force arbitrarily took his child away will return him unharmed.",https://images-na.ssl-images-amazon.com/images/M/MV5BN2ZjYjU3M2UtZmI3MS00N2FiLWFmYzMtMzI2YmIzNTY2NmVhXkEyXkFqcGdeQXVyMjc3ODU3NDQ@._V1_SX300.jpg,Zeitgeist Films,G,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",5-Jun-14,TRUE,96 min,Siddharth,movie,http://www.zeitgeistfilms.com/siddharth/,"Maureen Dorey (story editor), Richie Mehta, Richie Mehta, Rajesh Tailang (dialogue)",2013,tt2932606,7.3,495,,0.73,0.9,0.72
"Christopher Baker, Kate Fahy, Tom Hiddleston, Andrew Lawson",6 nominations.,,UK,4-Nov-14,Joanna Hogg,,Drama,English,82,Deep fractures within a family dynamic begin to surface during a getaway to the Isles of Scilly.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE1MzI0OTI2M15BMl5BanBnXkFtZTcwOTcyNjg0NA@@._V1_SX300.jpg,Kino Lorber Films,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",4-Mar-11,TRUE,114 min,Archipelago,movie,http://www.kinolorber.com/film.php?id=1658,Joanna Hogg,2010,tt1527835,6,"1,735",,0.6,0.95,0.82
"Stephen Rakes, James 'Whitey' Bulger, Tommy Donahue, David Boeri",6 wins & 3 nominations.,,USA,13-Oct-14,Joe Berlinger,,"Documentary, Biography, Crime",English,71,"WHITEY: United States of America v. James J. Bulger captures the sensational trial of infamous gangster James 'Whitey' Bulger, using the legal proceedings as a springboard to explore allegations of corruption within the highest levels of law enforcement. Embedded for months with Federal Prosecutors, retired FBI and State Police, victims, lawyers, gangsters and journalists, Academy Award-nominated filmmaker Joe Berlinger examines Bulger's relationship with the FBI and Department of Justice that allowed him to reign over a criminal empire in Boston for decades. Pulling back the curtain on long-held Bulger mythology, the film challenges conventional wisdom by detailing shocking, new allegations. With unprecedented access, Berlinger's latest crime documentary offers a universal tale of human frailty, opportunism, deception, and the often elusive nature of truth and justice.",https://m.media-amazon.com/images/M/MV5BMTcwNDQ4MTA2OF5BMl5BanBnXkFtZTgwNTc4ODU3MTE@._V1_SX300.jpg,Magnolia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",27-Jun-14,TRUE,107 min,Whitey: United States of America v. James J. Bulger,movie,http://www.magpictures.com/whitey/,,2014,tt3326366,6.8,"2,634",,0.68,0.78,0.71
"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz",5 wins & 23 nominations.,"$206,755,538 ","USA, China, Hong Kong",30-Sep-14,Michael Bay,,"Action, Adventure, Sci-Fi",English,32,"After the battle between the Autobots and Decepticons that leveled Chicago, humanity thinks that all alien robots are a threat. So Harold Attinger, a CIA agent, establishes a unit whose sole purpose is to hunt down all of them. But it turns out that they are aided by another alien robot who is searching for Optimus Prime. Cade Yeager, a ""robotics expert"", buys an old truck and upon examining it, he thinks it's a Transformer. When he powers it up, he discovers it's Optimus Prime. Later, men from the unit show up looking for Optimus. He helps Yeager and his daughter Tessa escape but are pursued by the hunter. They escape and Yeager learns from technology he took from the men that a technology magnate and defense contractor named Joshua Joyce is part of what's going on, so they go to find out what's going on.",https://m.media-amazon.com/images/M/MV5BMjE1OTMyODA5M15BMl5BanBnXkFtZTgwMjc2MDk3MTE@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",27-Jun-14,TRUE,165 min,Transformers: Age of Extinction,movie,http://TransformersMovie.com,Ehren Kruger,2014,tt2109248,5.7,"275,260",,0.57,0.18,0.32
"Chao Deng, Mi Yang, Chao Liang, Yan Liu",,,China,,"Chao Deng, Baimei Yu",,Comedy,Mandarin,,"Deng Chao plays Mei Yuangui, a professional ""Breakup Guru"", who is hired by a client to end a relationship with Ye Xiaochun (Yang Mi). But his penchant and skill at breaking up couples without complication and worry is put to the test when a battle of wits ensues with Xiaochun, risking his reputation and setting up the ultimate test of his services.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MjkzNTYxMV5BMl5BanBnXkFtZTgwMzg4MDMwMjE@._V1_SX300.jpg,China Lion Film Distribution,,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",27-Jun-14,TRUE,114 min,The Breakup Guru,movie,http://www.thebreakupguru.com/,Baimei Yu,2014,tt3667798,4.4,360,,0.44,-1,-1
